Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11579
Completed Trials,127
Pruned Trials,11452
Best Trial Number,11288
Best Value,1266.7027
Optimization Time,300m 13s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
HMA,375,2,6,1.1,2,1.5,4,10.0,7.0,5,2,KAMA,175,-2.5,KAMA,100,0.0,647.99%,19.80%,146,73.43,32.72,2.23,2.07,3.94,32.72,100.00
HMA,500,4,6,1.5,2,1.4,3,8.0,3.0,3,2,DEMA,150,-2.5,DEMA,50,1.0,635.13%,17.98%,148,74.29,35.32,1.57,2.10,3.58,35.32,100.00
HMA,225,4,4,1.1,3,1.3,3,8.0,3.0,6,7,DEMA,125,-3.0,DEMA,75,1.0,620.62%,25.74%,203,30.94,24.12,0.83,1.55,5.12,24.12,100.00
HMA,350,2,8,1.1,2,1.8,4,6.0,6.0,7,5,KAMA,175,-3.0,KAMA,125,0.0,609.36%,11.52%,121,82.48,52.89,2.02,2.26,3.51,52.89,100.00
HMA,425,2,6,1.2,2,1.2,4,7.0,7.0,6,2,KAMA,200,-2.0,KAMA,75,0.0,600.26%,18.78%,150,66.69,31.97,1.28,2.14,3.66,31.97,100.00
HMA,475,3,9,1.0,3,1.1,2,10.0,4.0,5,2,WMA,150,-3.0,WMA,50,0.5,598.86%,15.00%,124,85.31,39.91,2.72,2.43,3.38,39.91,100.00
DEMA,225,3,2,1.0,2,1.4,2,10.0,5.0,6,6,DEMA,150,-3.0,DEMA,125,0.0,597.04%,23.99%,190,35.91,24.89,0.75,1.76,4.77,24.89,83.33
ALMA,125,4,3,1.2,3,2.3,2,9.0,4.0,5,5,SMA,125,-3.0,SMA,25,0.5,592.03%,19.28%,178,62.91,30.71,1.99,1.76,4.33,30.71,100.00
DEMA,150,3,2,1.1,2,1.1,4,9.0,6.0,6,6,DEMA,175,-3.0,DEMA,200,0.5,582.46%,20.21%,169,53.74,28.82,1.42,1.66,4.19,28.82,100.00
HMA,475,2,10,1.6,2,1.8,3,9.0,3.0,3,2,DEMA,175,-2.5,DEMA,200,1.0,579.35%,22.20%,134,54.88,26.10,1.41,1.93,3.94,26.10,83.33
DEMA,100,2,3,1.0,2,1.1,3,10.0,5.0,6,6,KAMA,200,-2.5,KAMA,175,0.0,578.31%,18.70%,176,42.44,30.92,1.16,1.58,5.82,30.92,100.00
HMA,175,4,6,1.5,2,1.3,2,5.0,6.0,6,6,DEMA,200,-2.5,DEMA,200,0.5,576.81%,19.88%,191,51.73,29.02,1.66,1.60,3.98,29.02,83.33
TMA,100,3,4,1.1,2,1.0,2,9.0,5.0,7,6,DEMA,150,-3.0,DEMA,75,1.0,576.49%,26.63%,208,27.91,21.65,0.73,1.69,5.29,21.65,83.33
DEMA,250,4,2,1.3,2,1.3,2,10.0,5.0,7,4,TMA,150,-3.0,TMA,75,0.5,576.34%,17.26%,149,55.43,33.39,1.67,1.75,5.10,33.39,83.33
DEMA,200,4,2,1.0,3,1.3,2,9.0,6.0,7,4,DEMA,175,-3.0,DEMA,75,1.5,571.31%,27.40%,178,37.68,20.85,1.46,1.61,4.90,20.85,83.33
DEMA,75,8,2,1.4,2,1.1,5,9.0,7.0,6,7,DEMA,200,-3.0,DEMA,175,0.5,569.97%,24.77%,178,40.87,23.01,1.37,1.63,4.25,23.01,83.33
DEMA,250,4,2,1.3,3,1.7,2,10.0,5.0,4,5,ALMA,150,-3.0,ALMA,125,0.5,569.25%,21.83%,168,60.35,26.07,2.07,1.78,4.20,26.07,100.00
HMA,500,3,6,1.6,2,1.0,4,8.0,5.0,5,4,KAMA,150,-2.5,KAMA,100,0.0,569.08%,21.14%,126,77.01,26.92,2.56,2.27,3.23,26.92,100.00
HMA,475,3,10,1.8,2,2.2,2,9.0,3.0,5,3,DEMA,150,-2.5,DEMA,150,1.0,565.42%,24.60%,142,50.20,22.99,1.40,1.85,3.80,22.99,83.33
DEMA,200,4,2,1.3,2,2.2,3,8.0,6.0,5,5,EMA,100,-3.0,EMA,75,0.0,564.24%,18.10%,155,63.66,31.18,1.42,1.82,3.73,31.18,100.00
DEMA,225,6,4,1.3,2,1.7,3,9.0,7.0,7,6,DEMA,200,-3.0,DEMA,175,0.5,561.75%,28.11%,152,25.79,19.98,0.98,1.70,6.33,19.98,83.33
