Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,647
Completed Trials,96
Pruned Trials,551
Best Trial Number,573
Best Value,523.7438
Optimization Time,10m 6s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
stopLongMaxDays,6
stopShortMaxDays,6
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
SMA,300,9,9,2.0,2,1.3,3,10.0,7.0,EMA,25,-2.0,EMA,75,1.0,263.99%,22.79%,104,55.10,11.58,1.24,1.90,4.32,11.58,100.00
SMA,300,10,6,2.9,4,1.1,3,3.0,5.0,T3,50,-3.0,T3,100,2.5,263.87%,21.19%,98,67.60,12.45,1.56,2.13,4.55,12.45,100.00
SMA,350,9,5,1.7,3,1.2,3,7.0,5.0,T3,50,-2.5,T3,150,0.0,262.05%,16.72%,96,80.36,15.68,2.51,2.04,3.76,15.68,100.00
SMA,350,7,5,2.1,3,1.0,2,4.0,10.0,T3,50,-2.0,T3,125,1.0,261.82%,23.44%,110,50.94,11.17,1.44,1.72,4.32,11.17,100.00
SMA,250,9,4,1.7,4,1.4,3,3.0,4.0,T3,25,-3.0,T3,125,0.5,256.71%,26.11%,120,38.18,9.83,1.44,1.69,4.42,9.83,83.33
SMA,225,8,7,1.6,4,1.0,3,5.0,4.0,T3,100,-3.0,T3,125,1.0,254.13%,34.24%,118,15.94,7.42,1.11,1.55,6.05,7.42,83.33
SMA,250,9,8,1.7,4,1.2,2,4.0,6.0,T3,75,-2.0,T3,125,1.0,253.93%,37.37%,118,22.97,6.79,1.42,1.63,6.32,6.79,83.33
SMA,300,10,4,2.4,3,1.0,2,3.0,7.0,T3,100,-1.5,T3,100,0.0,253.76%,20.19%,106,63.18,12.57,1.36,1.98,3.73,12.57,83.33
SMA,300,9,9,2.3,3,1.6,4,9.0,9.0,T3,25,-2.5,T3,125,1.0,250.35%,23.61%,102,51.35,10.60,1.27,1.90,3.68,10.60,83.33
SMA,250,9,4,1.8,2,1.1,2,3.0,9.0,T3,150,-1.0,T3,175,2.5,249.48%,32.77%,116,27.14,7.61,1.30,1.62,6.21,7.61,100.00
SMA,300,9,9,2.0,3,1.1,4,7.0,8.0,T3,100,-2.5,T3,125,2.0,249.24%,25.43%,102,48.44,9.80,2.68,1.82,5.09,9.80,100.00
SMA,300,7,9,2.0,2,1.0,2,10.0,9.0,T3,25,-1.5,T3,200,1.0,247.77%,25.59%,110,40.94,9.68,1.63,1.73,5.25,9.68,100.00
SMA,325,8,4,1.8,4,1.5,3,6.0,3.0,T3,25,-3.0,T3,200,0.5,246.06%,16.43%,106,67.55,14.98,1.32,1.87,3.52,14.98,100.00
SMA,325,9,5,2.2,2,1.2,2,4.0,8.0,T3,150,-1.5,T3,100,0.0,243.91%,20.28%,104,66.98,12.03,2.18,1.98,4.51,12.03,100.00
SMA,275,9,10,1.7,4,1.2,4,9.0,4.0,T3,100,-2.5,T3,200,3.0,242.99%,21.39%,88,63.07,11.36,1.70,1.91,4.26,11.36,100.00
SMA,275,7,6,2.2,3,1.1,2,4.0,8.0,T3,50,-2.5,T3,125,1.5,239.36%,37.61%,126,11.46,6.36,1.04,1.61,6.54,6.36,83.33
SMA,300,9,10,2.2,3,1.3,4,7.0,8.0,T3,125,-2.0,T3,100,2.0,239.32%,23.48%,100,51.15,10.19,1.97,1.82,4.72,10.19,100.00
SMA,325,7,4,2.7,4,1.0,2,3.0,10.0,T3,125,-1.5,T3,175,0.5,238.45%,19.73%,108,62.14,12.09,1.42,1.83,3.52,12.09,100.00
SMA,300,9,10,1.8,2,2.2,2,8.0,3.0,T3,75,-2.0,T3,25,0.0,237.94%,18.03%,102,65.10,13.20,1.25,2.11,3.61,13.20,83.33
SMA,350,8,5,1.2,2,1.1,2,4.0,10.0,T3,125,-1.5,T3,200,3.0,237.57%,20.11%,106,34.06,11.82,1.11,1.60,4.98,11.82,83.33
SMA,300,8,9,2.0,2,1.6,2,7.0,3.0,T3,125,-0.5,T3,75,1.0,236.35%,23.37%,106,41.30,10.11,1.18,1.83,3.95,10.11,83.33
SMA,300,8,10,2.0,2,2.0,3,4.0,4.0,EMA,125,-0.5,EMA,75,0.5,233.50%,16.48%,102,64.01,14.17,1.15,2.02,3.11,14.17,83.33
SMA,300,9,10,2.2,4,1.2,3,8.0,10.0,EMA,25,-2.0,EMA,150,1.0,231.44%,20.98%,102,54.90,11.03,1.38,1.86,4.26,11.03,100.00
DEMA,225,7,4,1.9,3,1.2,3,8.0,9.0,EMA,75,-1.0,EMA,25,0.5,231.00%,29.80%,194,13.91,7.75,0.76,1.47,5.32,7.75,83.33
